Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Pacific Waves Fragrance,Men,$8.00,N/A,Blue || ,https://blnts.com//products/0883-57382048-pacific-waves-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382048-40-0_270x400_crop_center.jpg?v=1606748599,Fragrance,Bluenotes
Betray Fragrance,Men,$8.00,N/A,Black || ,https://blnts.com//products/0883-57382006-betray-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382006-01-0_270x400_crop_center.jpg?v=1606748599,Fragrance,Bluenotes
Basic Impulse Fragrance,Men,$8.00,N/A,Black || ,https://blnts.com//products/0883-57382087-basic-impulse-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382087-01-0_270x400_crop_center.jpg?v=1606515580,Fragrance,Bluenotes
Red Hot Speed Fragrance,Men,$8.00,N/A,Red || ,https://blnts.com//products/0883-57382044-red-hot-speed-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382044-60-0_270x400_crop_center.jpg?v=1606515570,Fragrance,Bluenotes
Mod Man Fragrance,Men,$8.00,N/A,Blue || ,https://blnts.com//products/0883-57382020-mod-man-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382020-40-0_270x400_crop_center.jpg?v=1606515560,Fragrance,Bluenotes
Revolution Fragrance,Men,$8.00,N/A,Black || ,https://blnts.com//products/0883-57382017-revolution-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382017-01-0_270x400_crop_center.jpg?v=1606515549,Fragrance,Bluenotes
Ballistic Missile Fragrance,Men,$8.00,N/A,Red || ,https://blnts.com//products/0883-57382033-ballistic-missile-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382033-60-0_270x400_crop_center.jpg?v=1606341804,Fragrance,Bluenotes
Graffiti by Grunge Fragrance,Men,$8.00,N/A,Brown || ,https://blnts.com//products/0883-57382030-graffiti-by-grunge-fragrance,https://cdn.shopify.com/s/files/1/1981/3329/products/088357382030-20-0_270x400_crop_center.jpg?v=1606341804,Fragrance,Bluenotes
Aéropostale Cuff Beanie,Men,$14.99,$7.50,Grey || Black || Burgundy || ,https://blnts.com//products/6479-52962001-aeropostale-cuff-beanie,https://cdn.shopify.com/s/files/1/1981/3329/products/647952962001-04-0_270x400_crop_center.jpg?v=1604508605,Beanie,Bluenotes
North Western Slouch Beanie 3-Pack,Men,$24.99,$10.00,Grey || Black || ,https://blnts.com//products/0879-62362004-north-western-slouch-beanie-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/087962362004-04-0_270x400_crop_center.jpg?v=1604508604,Beanie,Bluenotes
