Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Holiday Animal Face Sleep Mask,Women,$9.99,$4.00,Brown || White || ,https://blnts.com//products/0553-02652001-holiday-animal-face-sleep-mask,https://cdn.shopify.com/s/files/1/1981/3329/products/055302652001-20_469157de-39ee-4290-905e-07dd2c92fae6_270x400_crop_center.jpg?v=1606747862,Mask,Bluenotes
Animal Face Sleep Mask,Women,$9.99,$5.99,Grey || Cream || ,https://blnts.com//products/0553-02652001-animal-face-sleep-mask,https://cdn.shopify.com/s/files/1/1981/3329/products/055302652001-04-0_270x400_crop_center.jpg?v=1606592024,Mask,Bluenotes
Reusable Adjustable Cotton Face Mask 2-Pack,Women,$12.99,$7.79,Red || Black || Grey || Multi || Blue || Baby Blue || Leopard || Pink || ,https://blnts.com//products/6553-03532102-reusable-adjustable-cotton-face-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/655303532102-60-0_270x400_crop_center.jpg?v=1605896394,Mask,Bluenotes
Super Soft Adjustable Double Layered Reusable Rudolph Mask 2-Pack,Women,$12.99,$6.50,Red || ,https://blnts.com//products/6753-34642006-super-soft-adjustable-double-layered-reusable-rudolph-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/675334642006-60-0_270x400_crop_center.jpg?v=1605277395,Mask,Bluenotes
Super Soft Adjustable Double Layered Reusable Kiss Mask 2-Pack,Women,$12.99,$6.50,Black || ,https://blnts.com//products/6753-34642005-super-soft-adjustable-double-layered-reusable-kiss-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/675334642005-01-0_270x400_crop_center.jpg?v=1605277338,Mask,Bluenotes
Super Soft Adjustable Double Layered Reusable Spongebob Mask 2-Pack,Women,$12.99,$6.50,Blue || ,https://blnts.com//products/6753-34642004-super-soft-adjustable-double-layered-reusable-spongebob-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/675334642004-40-0_270x400_crop_center.jpg?v=1605277330,Mask,Bluenotes
Adjustable Double Layered Reusable Holiday Printed Face Mask 2-Pack,Women,$12.99,$6.50,Pink || White || Cream || Red || ,https://blnts.com//products/0553-35402103-adjustable-double-layered-reusable-holiday-printed-face-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/055335402103-66_611c4433-7967-46a1-ba21-ced013e0bdb4_270x400_crop_center.jpg?v=1604877712,Mask,Bluenotes
Adjustable Double Layered Reusable Printed Face Mask 2-Pack,Women,$12.99,$7.79,Multi || Yellow || ,https://blnts.com//products/0553-35402103-adjustable-double-layered-reusable-printed-face-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/055335402103-36_270x400_crop_center.jpg?v=1604787868,Mask,Bluenotes
Heart Chain Belt,Women,$12.99,$6.50,Silver || ,https://blnts.com//products/6580-35402102-heart-chain-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/658035402102-07-0_270x400_crop_center.jpg?v=1604698534,Belt,Bluenotes
Studded Belt,Women,$12.99,$6.50,Black || ,https://blnts.com//products/6580-52962103-studded-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/658052962103-01-0_270x400_crop_center.jpg?v=1604599194,Belt,Bluenotes
O-Ring Belt,Women,$12.99,$6.50,Black || Tan || ,https://blnts.com//products/6580-52962101-o-ring-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/658052962101-01-0_270x400_crop_center.jpg?v=1604599198,Belt,Bluenotes
Skinny Link Buckle Belt,Women,$9.99,$4.00,Black || ,https://blnts.com//products/0580-52962101-skinny-link-buckle-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/058052962101-01-0_270x400_crop_center.jpg?v=1604599150,Belt,Bluenotes
Link Buckle Belt,Women,$9.99,$4.00,Black || ,https://blnts.com//products/0580-35402102-link-buckle-belt,https://cdn.shopify.com/s/files/1/1981/3329/products/058035402102-01-0_270x400_crop_center.jpg?v=1604599150,Belt,Bluenotes
Super Soft Reusable Tie Dye Face Mask 2-Pack,Women,$12.99,$5.20,Green || Black || Grey || Blue || Pink || Yellow || Orange || ,https://blnts.com//products/0753-48282006-super-soft-reusable-tie-dye-face-mask-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/075348282006-30-0_270x400_crop_center.jpg?v=1602336096,Mask,Bluenotes
