Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Abbott Pant Men's, Men, $170.00, $N/A, Hieroglyph || Ultima || Carbon Copy || , https://arcteryx.com/ca/en/shop/mens/abbott-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Abbott-Pant-Ultima.jpg?auto=format&amp;w=1350, pants, Arc'teryx
A2B Commuter Pant Men's, Men, $170.00, $N/A, Dracaena || Exosphere || Carbon Fibre || , https://arcteryx.com/ca/en/shop/mens/a2b-commuter-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/A2B-Commuter-Pant-Dracaena.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Kestros Pant Men's, Men, $150.00, $N/A, Black || Dracaena || Agra || , https://arcteryx.com/ca/en/shop/mens/kestros-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Kestros-Pant-Agra.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Cronin Pant Men's, Men, $140.00, $N/A, Hieroglyph || Carbon Copy || Exosphere || , https://arcteryx.com/ca/en/shop/mens/cronin-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cronin-Pant-Carbon-Copy.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Creston AR Pant Men's, Men, $170.00, $N/A, Black || Carbon Copy || , https://arcteryx.com/ca/en/shop/mens/creston-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Creston-AR-Pant-Carbon-Copy.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Cormac Pant Men's, Men, $150.00, $N/A, Black || Exosphere || , https://arcteryx.com/ca/en/shop/mens/cormac-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cormac-Pant-Exosphere.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sigma AR Pant Men's, Men, $270.00, $N/A, Carbon Copy || Kingfisher || , https://arcteryx.com/ca/en/shop/mens/sigma-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sigma-AR-Pant-Carbon-Copy.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Beta AR Pant Men's, Men, $600.00, $N/A, Black || Cobalt Moon ||  || , https://arcteryx.com/ca/en/shop/mens/beta-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-AR-Pant-Cobalt-Moon.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sabre LT Pant Men's, Men, $570.00, $N/A, Rhapsody || Elytron || 24K Black || Squid Ink || , https://arcteryx.com/ca/en/shop/mens/sabre-lt-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sabre-LT-Pant-Squid-Ink.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sabre AR Pant Men's, Men, $600.00, $N/A, Soulsonic || Black || Paradox || Yukon || Galactica || , https://arcteryx.com/ca/en/shop/mens/sabre-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sabre-AR-Pant-Soulsonic.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Stradium Pant Men's, Men, $120.00, $N/A, Black || , https://arcteryx.com/ca/en/shop/mens/stradium-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Stradium-Pant-Black.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Incendo Pant Men's, Men, $140.00, $N/A, Black || Aeroponic || , https://arcteryx.com/ca/en/shop/mens/incendo-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Incendo-Pant-Aeroponic.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Lefroy Pant Men's, Men, $130.00, $N/A, Black || Cobalt Moon || Cryptochrome || Elk || , https://arcteryx.com/ca/en/shop/mens/lefroy-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Lefroy-Pant-Cryptochrome.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Palisade Pant Men's, Men, $200.00, $N/A, Black || Cobalt Moon || Cryptochrome || Elk || , https://arcteryx.com/ca/en/shop/mens/palisade-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Palisade-Pant-Cryptochrome.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sabreo Pant Men's, Men, $150.00, $N/A, Black || Dracaena || Exosphere || , https://arcteryx.com/ca/en/shop/mens/sabreo-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sabreo-Pant-Dracaena.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Creston Pant Men's, Men, $130.00, $N/A, Black || Exosphere || Agra || Arbour || , https://arcteryx.com/ca/en/shop/mens/creston-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Creston-Pant-Exosphere.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Rush FL Pant Men's, Men, $350.00, $N/A, Enigma || Black || , https://arcteryx.com/ca/en/shop/mens/rush-fl-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rush-FL-Pant-Enigma.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Beta SV Bib Pant Men's, Men, $700.00, $N/A, Black || Paradox || , https://arcteryx.com/ca/en/shop/mens/beta-sv-bib-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-SV-Bib-Pant-Paradox.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Alpha SV Bib Men's, Men, $850.00, $N/A, Black || Pilot ||  || , https://arcteryx.com/ca/en/shop/mens/alpha-sv-bib#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Alpha-SV-Bib-Pilot.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Starke Pant Men's, Men, $140.00, $N/A, Black || Tui || Owami || , https://arcteryx.com/ca/en/shop/mens/starke-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Starke-Pant-Tui.jpg?auto=format&amp;w=1350, pants, Arc'teryx
