Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Sabria Pant Women's, Women, $150.00, $N/A, Momentum || Black || Cobalt Moon || Dimma || , https://arcteryx.com/ca/en/shop/womens/sabria-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sabria-Pant-W-Momentum.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Palisade Pant Women's, Women, $200.00, $N/A, Inertia || Black Sapphire || Symbiome || , https://arcteryx.com/ca/en/shop/womens/palisade-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Palisade-Pant-W-Symbiome.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Motus AR Bottom Women's, Women, $90.00, $N/A, Black || , https://arcteryx.com/ca/en/shop/womens/motus-ar-bottom#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Motus-AR-Bottom-W-Black.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Creston AR Pant Women's, Women, $170.00, $N/A, Black || Carbon Copy || , https://arcteryx.com/ca/en/shop/womens/creston-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Creston-AR-Pant-W-Carbon-Copy.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Murrin Pant Women's, Women, $120.00, $N/A, Carbon Copy || Flux || , https://arcteryx.com/ca/en/shop/womens/murrin-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Murrin-Pant-W-Carbon-Copy.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Devis Pant Women's, Women, $140.00, $N/A, Carbon Fibre || , https://arcteryx.com/ca/en/shop/womens/devis-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Devis-Pant-W-Carbon-Fibre.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Phelix Pant Women's, Women, $120.00, $N/A, Dracaena || Carbon Fibre || , https://arcteryx.com/ca/en/shop/womens/phelix-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Phelix-Pant-W-Dracaena.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sentinel LT Pant Women's, Women, $570.00, $N/A, Momentum || Black || Paradox ||  || , https://arcteryx.com/ca/en/shop/womens/sentinel-lt-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sentinel-LT-Pant-W-Momentum.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sentinel AR Pant Women's, Women, $600.00, $N/A, Enigma || Black || Zephyr || Quantum || Dark Inertia ||  || , https://arcteryx.com/ca/en/shop/womens/sentinel-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sentinel-AR-Pant-W-Zephyr.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Beta AR Pant Women's, Women, $600.00, $N/A, Black ||  || , https://arcteryx.com/ca/en/shop/womens/beta-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-AR-Pant-W-Black.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Levon Pant Women's, Women, $170.00, $N/A, Ultima || Black || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/levon-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Levon-Pant-W-Ultima.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Taema Pant Women's, Women, $150.00, $N/A, Enigma || Black || , https://arcteryx.com/ca/en/shop/womens/taema-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Taema-Pant-W-Enigma.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Oriel Legging Women's, Women, $100.00, $N/A, Ultima || Black || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/oriel-legging#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Oriel-Legging-W-Ultima.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Sigma AR Pant Women's, Women, $270.00, $N/A, Carbon Copy || , https://arcteryx.com/ca/en/shop/womens/sigma-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sigma-AR-Pant-W-Carbon-Copy.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Gamma MX Pant Women's, Women, $300.00, $N/A, Black || Rhapsody || , https://arcteryx.com/ca/en/shop/womens/gamma-mx-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Gamma-MX-Pant-W-Rhapsody.jpg?auto=format&amp;w=1350, pants, Arc'teryx
Gamma AR Pant Women's, Women, $250.00, $N/A, Enigma || Black || , https://arcteryx.com/ca/en/shop/womens/gamma-ar-pant#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Gamma-AR-Pant-W-Enigma.jpg?auto=format&amp;w=1350, pants, Arc'teryx
