Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Aéropostale Athletic Socks,Men,$14.99,$7.50,Royal Blue || White || Burgundy || Mixed || ,https://blnts.com//products/6498-19142000-aeropostale-athletic-socks,https://cdn.shopify.com/s/files/1/1981/3329/products/649819142000-43-0_270x400_crop_center.jpg?v=1601385794,Sock,Bluenotes
Sneakers,men,$34.99,N/A,White,https://www2.hm.com/en_ca/productpage.0892311001.html,"https://lp2.hm.com/hmgoepprod?set=source[/30/38/3038bd084bdf084c75324e53f7dafa727a7db626.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Leather Sneakers,men,$79.99,N/A,White/beige,https://www2.hm.com/en_ca/productpage.0888539001.html,"https://lp2.hm.com/hmgoepprod?set=source[/78/9d/789d27a801a5ff9c931ed40610041d855e271121.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Suede Sneakers,men,$79.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0903659001.html,"https://lp2.hm.com/hmgoepprod?set=source[/92/67/926737d1ba26691158f6e5daa6fcc5cc9af2ebe0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,men,$79.99,N/A,White/leather||Dark blue/suede||Khaki green,https://www2.hm.com/en_ca/productpage.0538358016.html,"https://lp2.hm.com/hmgoepprod?set=source[/94/7e/947e6ff7d179812678b2770190746bc586754688.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Chunky Leather Sneakers,men,$79.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0927657001.html,"https://lp2.hm.com/hmgoepprod?set=source[/ae/ee/aeeedc5294b8b47701feabf2df0abae9cc1ed9b9.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Canvas Sneakers,men,$29.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0740920002.html,"https://lp2.hm.com/hmgoepprod?set=source[/4f/25/4f25d62a5d98c035fd9d56f8275539a8bf28d95f.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Mesh Sneakers,men,$49.99,N/A,White,https://www2.hm.com/en_ca/productpage.0845086002.html,"https://lp2.hm.com/hmgoepprod?set=source[/28/b5/28b5c67533d476855ebe8d19889188f9724bb1dc.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,men,$34.99,N/A,White/blue,https://www2.hm.com/en_ca/productpage.0728830001.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/13/da132ab119cd61e62d281cd77452d424342e3e0c.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,men,$79.99,N/A,White/leather,https://www2.hm.com/en_ca/productpage.0712058001.html,"https://lp2.hm.com/hmgoepprod?set=source[/89/36/89363623ce5500aed02b050c057b80c3a8943f4a.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
