Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Tie Dye Demi Crew Socks 2-Pack,Women,$9.99,$5.00,Baby Blue || Assorted || Multi || ,https://blnts.com//products/6589-43902108-tie-dye-demi-crew-socks-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/658943902108-44-0_270x400_crop_center.jpg?v=1605713676,Socks,Bluenotes
Embroidered Demi Crew Socks 2-Pack,Women,$9.99,$5.00,Pink || Aqua || Lilac || ,https://blnts.com//products/6589-43902107-embroidered-demi-crew-socks-2-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/658943902107-66-0_270x400_crop_center.jpg?v=1605713676,Socks,Bluenotes
Aéropostale Animal Ankle Socks 3-Pack,Women,$9.99,$5.00,Pink || Baby Blue || Aqua || ,https://blnts.com//products/6589-43902102-aeropostale-animal-ankle-socks-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/658943902102-66-0_270x400_crop_center.jpg?v=1605545448,Socks,Bluenotes
Aéropostale Food Ankle Socks 3-Pack,Women,$9.99,$5.00,Grey || Pink || Yellow || ,https://blnts.com//products/6589-43902101-aeropostale-food-ankle-socks-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/658943902101-04-0_270x400_crop_center.jpg?v=1605545425,Socks,Bluenotes
AERO Cozy Slippers,Women,$19.99,$10.00,Pink || Black || Grey || Cream || Leopard || ,https://blnts.com//products/6753-43902001-aero-cozy-slippers,https://cdn.shopify.com/s/files/1/1981/3329/products/675343902001-66-0_270x400_crop_center.jpg?v=1604688595,Slippers,Bluenotes
Sloth Ankle Socks 3-Pack,Women,$9.99,$5.00,Peach || ,https://blnts.com//products/6789-35402024-sloth-ankle-socks-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/678935402024-67-0_270x400_crop_center.jpg?v=1598020879,Socks,Bluenotes
Pizza Ankle Socks 3-Pack,Women,$9.99,$5.00,Lt Pink || ,https://blnts.com//products/6789-35402023-pizza-ankle-socks-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/678935402023-91-0_270x400_crop_center.jpg?v=1598020860,Socks,Bluenotes
"But First, Coffee Crew Socks 2-Pack",Women,$9.99,$5.00,Mauve || ,https://blnts.com//products/6789-35402007-but-before-your-morning-coffee-lets-talk-about-accessories-these-crew-socks-are-comfy-and-cute,https://cdn.shopify.com/s/files/1/1981/3329/products/678935402007-54-0_270x400_crop_center.jpg?v=1597249239,Socks,Bluenotes
Aéropostale Neutral Athletic Socks 3-Pack,Women,$12.99,N/A,Multi || ,https://blnts.com//products/6589-61932005-aeropostale-neutral-athletic-socks-3-pack,https://cdn.shopify.com/s/files/1/1981/3329/products/658961932005-36-0_270x400_crop_center.jpg?v=1583344992,Socks,Bluenotes
Sneakers,women,$34.99,N/A,White/snakeskin-patterned,https://www2.hm.com/en_ca/productpage.0926737001.html,"https://lp2.hm.com/hmgoepprod?set=source[/95/40/9540508d01e56819991a3cd8915a471936c06a44.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Faux Shearling-lined Sneakers,women,$39.99,N/A,White,https://www2.hm.com/en_ca/productpage.0890500002.html,"https://lp2.hm.com/hmgoepprod?set=source[/f6/d6/f6d6a5a0c4b56fe2b8f25dfdf4d55823eddcc4cd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Platform Sneakers,women,$34.99,N/A,White||Black,https://www2.hm.com/en_ca/productpage.0622958016.html,"https://lp2.hm.com/hmgoepprod?set=source[/57/87/57877c69b78e63b2c5de485a1b428108008d8f51.jpg],origin[dam],category[ladies_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Platform Sneakers,women,$34.99,N/A,Black||White,https://www2.hm.com/en_ca/productpage.0622958003.html,"https://lp2.hm.com/hmgoepprod?set=source[/56/37/56378e5252fe5b95720662aa8d63c5d13da25fb4.jpg],origin[dam],category[ladies_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Platform Sneakers,women,$34.99,N/A,White||Silver-colored,https://www2.hm.com/en_ca/productpage.0736489003.html,"https://lp2.hm.com/hmgoepprod?set=source[/44/58/4458e66b20f9d6cec167d6ff6ff72e6234ca6d47.jpg],origin[dam],category[ladies_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
Sneakers,women,$34.99,N/A,White,https://www2.hm.com/en_ca/productpage.0889712001.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/d1/9cd1fc2fc1a70bc17677c35f4bf0a76b7c81a815.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sneakers,H&M
