Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
No Peeking Polar Fleece Onesie,Men,$39.99,$16.00,Multi || ,https://blnts.com//products/0837-48282007-no-peeking-polar-fleece-onesie,https://cdn.shopify.com/s/files/1/1981/3329/products/083748282007-36-0_270x400_crop_center.jpg?v=1606663110,Onesie,Bluenotes
Nike Sportswear Tech Fleece Men's Full-Zip Hoodie,Men,$158.00,N/A,Dark Beetroot/Black || Twilight Marsh/Black || Game Royal/Black || Dark Grey Heather/Black || Black/Black, https://www.nike.com/ca/t/sportswear-tech-fleece-hoodie-Rhmk1c/CU4489-638, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/e5250adf-4b4e-44ad-b4c8-758a7fb5853d/sportswear-tech-fleece-hoodie-Rhmk1c.jpg,Hoodie,Nike
Nike Sportswear Tech Fleece Men's Joggers,Men,$130.00,N/A,Dark Beetroot/Black || Twilight Marsh/Black || Dark Sulphur/Black || Midnight Navy/Black || Black/Black || Dark Grey Heather/Black, https://www.nike.com/ca/t/sportswear-tech-fleece-joggers-h2Bmxs/CU4495-638, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/d6e50bfb-b7b4-48d7-9a78-68d868d4ac4b/sportswear-tech-fleece-joggers-h2Bmxs.jpg,Joggers,Nike
F.C. Barcelona Strike Men's Knit Football Tracksuit,Men,$170.00,N/A,Black/Black/Pink Beam/New Green, https://www.nike.com/ca/t/fc-barcelona-strike-knit-football-tracksuit-XgKK7f/CK9615-011, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/ea3a5ef4-b90b-411f-bfe5-e95eed05afbe/fc-barcelona-strike-knit-football-tracksuit-XgKK7f.jpg,Tracksuit,Nike
F.C. Barcelona Strike Men's Knit Football Tracksuit,Men,$170.00,N/A,Noble Red/Noble Red/Amarillo/Amarillo || Deep Royal Blue/Deep Royal Blue/Amarillo/Amarillo, https://www.nike.com/ca/t/fc-barcelona-strike-knit-football-tracksuit-q5HM2K/CD6003-621, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/d7aa5547-c5e2-48ca-b7fc-ebf852e9a5a1/fc-barcelona-strike-knit-football-tracksuit-q5HM2K.jpg,Tracksuit,Nike
Inter Milan Strike Men's Knit Football Tracksuit,Men,$170.00,N/A,Blue Spark/Black/Blue Spark/Tour Yellow, https://www.nike.com/ca/t/inter-milan-strike-knit-football-tracksuit-LTNXvP/CD4955-413, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/f8e09432-c948-4c69-906d-79226d2407b1/inter-milan-strike-knit-football-tracksuit-LTNXvP.jpg,Tracksuit,Nike
AS Roma Strike Men's Football Tracksuit,Men,$170.00,N/A,Safety Orange/Safety Orange/Black/Black, https://www.nike.com/ca/t/as-roma-strike-football-tracksuit-msmGNV/CK9632-819, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/521121ab-1913-4968-a282-72a1f41efabb/as-roma-strike-football-tracksuit-msmGNV.jpg,Tracksuit,Nike
Nike Flex Men's Training Trousers,Men,$95.00,N/A,Black/Dark Grey || Smoke Grey/Black, https://www.nike.com/ca/t/flex-training-trousers-PWxqh6/CJ2218-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/i1-7b4ece86-f7a3-40b6-8f3c-dd3ad1420863/flex-training-trousers-PWxqh6.jpg,Trousers,Nike
Nike Dri-FIT Academy Winter Warrior Men's Football Drill Top,Men,$68.00,N/A,Deep Royal Blue/Deep Royal Blue/Light Armoury Blue || Black/Black || Black/Volt/Black, https://www.nike.com/ca/t/dri-fit-academy-winter-warrior-football-drill-top-lzSFFH/BQ7473-455, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/73131bbb-2a23-465f-aab2-39b7c00a4edf/dri-fit-academy-winter-warrior-football-drill-top-lzSFFH.jpg,Top,Nike
Nike ESC Men's Knit Tracksuit Jacket,Men,$877.50,N/A,Navy, https://www.nike.com/ca/t/esc-knit-tracksuit-jacket-sHVQ8Q/CW3744-414, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/15f52a9d-e4b5-4502-9af6-b0cce418942a/esc-knit-tracksuit-jacket-sHVQ8Q.jpg,Jacket,Nike
