Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Cela Dress Women's, Women, $90.00, $N/A, Black Heather || Light Grey Heather || Exosphere Heather || Taxus Heather || , https://arcteryx.com/ca/en/shop/womens/cela-dress#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cela-Dress-W-Light-Grey-Heather.jpg?auto=format&amp;w=1350, dresses_and_skirts, Arc'teryx
Ardena Dress Women's, Women, $90.00, $N/A, Element || Exosphere || Dimma || , https://arcteryx.com/ca/en/shop/womens/ardena-dress#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Ardena-Dress-W-Element.jpg?auto=format&amp;w=1350, dresses_and_skirts, Arc'teryx
Contenta Dress Women's, Women, $110.00, $N/A, Momentum || Black || Antenna || Symbiome || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/contenta-dress#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Contenta-Dress-W-Symbiome.jpg?auto=format&amp;w=1350, dresses_and_skirts, Arc'teryx
Contenta Shift Dress Women's, Women, $100.00, $N/A, Momentum || Black || Zenith || Dimma || , https://arcteryx.com/ca/en/shop/womens/contenta-shift-dress#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Contenta-Shift-Dress-W-Momentum.jpg?auto=format&amp;w=1350, dresses_and_skirts, Arc'teryx
Cala Dress Women's, Women, $120.00, $N/A, Inertia || Black || Exosphere || , https://arcteryx.com/ca/en/shop/womens/cala-dress#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cala-Dress-W-Inertia.jpg?auto=format&amp;w=1350, dresses_and_skirts, Arc'teryx
Sunbeams Maxi Dress,Women,75.95,N/A,BLACK (blk),https://www.billabong.com/en-ca/sunbeams-maxi-dress-194843029691.html,"https://images.boardriders.com/global/billabong-products/all/default/small/jd153bsu_billabong,wg_blk_frt1.jpg",womens_dresses,Billabong
Bloom Wrap Dress,Women,75.95,N/A,BLACK (blk),https://www.billabong.com/en-ca/bloom-wrap-dress-194843161254.html,"https://images.boardriders.com/global/billabong-products/all/default/small/jd833bbl_billabong,m_blk_frt1.jpg",womens_dresses,Billabong
Endless Days Jumpsuit,Women,169.95,N/A,DEJA BLUE (djb),https://www.billabong.com/en-ca/endless-days-jumpsuit-194843031113.html,"https://images.boardriders.com/global/billabong-products/all/default/small/jn153ben_billabong,l_djb_frt1.jpg",womens_dresses,Billabong
Love The Most Dress,Women,75.95,N/A,BLACK (blk),https://www.billabong.com/en-ca/love-the-most-dress-194843368974.html,"https://images.boardriders.com/global/billabong-products/all/default/small/abjkd00106_billabong,wg_blk_frt1.jpg",womens_dresses,Billabong
Amalfi Nights Dress,Women,79.95,N/A,RUBY (rub),https://www.billabong.com/en-ca/amalfi-nights-dress-194843370298.html,"https://images.boardriders.com/global/billabong-products/all/default/small/abjwd00122_billabong,l_rub_frt1.jpg",womens_dresses,Billabong
