Eat Me Crew Neck Sweater,Men,49.99,20.0,Green || ,https://blnts.com//products/0885-48342085-eat-me-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342085-30-0_270x400_crop_center.jpg?v=1606231387,Sweater,Bluenotes
Filthy Animal Crew Neck Sweater,Men,49.99,20.0,Red || ,https://blnts.com//products/0885-48342080-filthy-animal-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342080-60-0_270x400_crop_center.jpg?v=1606231351,Sweater,Bluenotes
Let's Get Baked Crew Neck Sweater,Men,49.99,20.0,Green || ,https://blnts.com//products/0885-48342086-lets-get-baked-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342086-30-0_270x400_crop_center.jpg?v=1606140273,Sweater,Bluenotes
Four Panel Crew Neck Sweater,Men,49.99,20.0,Black || ,https://blnts.com//products/0885-48342084-four-panel-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342084-01-0_270x400_crop_center.jpg?v=1606140273,Sweater,Bluenotes
Big Package Crew Neck Sweater,Men,49.99,20.0,Black || ,https://blnts.com//products/0885-48342087-big-package-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342087-01-0_270x400_crop_center.jpg?v=1605896440,Sweater,Bluenotes
Jingle My Bells Crew Neck Sweater,Men,49.99,20.0,Red || ,https://blnts.com//products/0885-48342083-jingle-my-bells-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342083-60-0_270x400_crop_center.jpg?v=1605896440,Sweater,Bluenotes
Chestnuts Roasting Crew Neck Sweater,Men,49.99,20.0,Black || ,https://blnts.com//products/0885-48342082-chestnuts-roasting-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342082-01-0_270x400_crop_center.jpg?v=1605896430,Sweater,Bluenotes
Happy Birthday Jesus Crew Neck Sweater,Men,49.99,20.0,Red || ,https://blnts.com//products/0885-48342081-happy-birthday-jesus-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342081-60-0_270x400_crop_center.jpg?v=1605896418,Sweater,Bluenotes
Teddy Sherpa Mock Neck Zip Sweater,Men,29.99,15.0,Grey || Black || Off White || Beige || ,https://blnts.com//products/0895-48282001-teddy-sherpa-mock-neck-zip-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/089548282001-04_270x400_crop_center.jpg?v=1603725570,Sweater,Bluenotes
Fine-knit Turtleneck Sweater,men,$29.99,N/A,Black||White||Beige melange||Light beige melange,https://www2.hm.com/en_ca/productpage.0715828013.html,"""https://lp2.hm.com/hmgoepprod?set=source[/7a/a6/7aa644276fb84f7dfa0d922b8f9ed7c4cdd4dc0e.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/7a/a6/7aa644276fb84f7dfa0d922b8f9ed7c4cdd4dc0e.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Turtleneck Sweater,men,$29.99,N/A,White||Black||Beige melange||Light beige melange,https://www2.hm.com/en_ca/productpage.0715828011.html,"""https://lp2.hm.com/hmgoepprod?set=source[/ec/0c/ec0c29b54828e8e5a20fe98f07558492ef5522a4.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/ec/0c/ec0c29b54828e8e5a20fe98f07558492ef5522a4.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Sweater,men,$29.99,N/A,Dark blue/Santas||Red/dinosaur||Dark blue/Santa Paws,https://www2.hm.com/en_ca/productpage.0881345002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/9d/e1/9de172d190d129a859cd2d86635c01b8fd410b08.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/9d/e1/9de172d190d129a859cd2d86635c01b8fd410b08.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Pattern-knit Sweater,men,$29.99,N/A,Dark blue/Coca-Cola||Black/Star Wars,https://www2.hm.com/en_ca/productpage.0898616002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/17/97/179750249d03776539be8d6e13f17684f32e8740.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/17/97/179750249d03776539be8d6e13f17684f32e8740.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Sweater,men,$29.99,N/A,Dark blue/Santa Paws||Red/dinosaur||Dark blue/Santas,https://www2.hm.com/en_ca/productpage.0881345003.html,"""https://lp2.hm.com/hmgoepprod?set=source[/86/44/8644c15ed789ca1e5ca45278514ef0d6496764ae.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/86/44/8644c15ed789ca1e5ca45278514ef0d6496764ae.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Pattern-knit Sweater,men,$29.99,N/A,Black/Star Wars||Dark blue/Coca-Cola,https://www2.hm.com/en_ca/productpage.0898616001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/28/a7/28a7312e953993e6ff23bb0cc92c733487ee8547.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/28/a7/28a7312e953993e6ff23bb0cc92c733487ee8547.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[2]&call=url[file:/product/style]""",sweater,H&M
Sweater,men,$29.99,N/A,Red/dinosaur||Dark blue/Santas||Dark blue/Santa Paws,https://www2.hm.com/en_ca/productpage.0881345001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/42/7a/427a9caf466c4a20d2e733d6cc64a2544f98ae34.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/42/7a/427a9caf466c4a20d2e733d6cc64a2544f98ae34.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Muscle Fit Knit Sweater,men,$34.99,N/A,Dark gray||Natural white||Black||Beige,https://www2.hm.com/en_ca/productpage.0782479011.html,"""https://lp2.hm.com/hmgoepprod?set=source[/b3/80/b380a26ae842bd3c163abfc8a0d34eb0b9e2f6af.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/b3/80/b380a26ae842bd3c163abfc8a0d34eb0b9e2f6af.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Embroidered-detail Sweater,men,$34.99,N/A,Dark beige||Orange,https://www2.hm.com/en_ca/productpage.0944030002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/d6/a3/d6a331c676a6e66dd61268aa0df7abb47caf31fa.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/d6/a3/d6a331c676a6e66dd61268aa0df7abb47caf31fa.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Slub-knit Sweater,men,$29.99,N/A,Black||Gray||Light beige,https://www2.hm.com/en_ca/productpage.0936604001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/59/2d/592da8e81c8f9bdc0568c1fc7e1cf77d2f01aa80.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/59/2d/592da8e81c8f9bdc0568c1fc7e1cf77d2f01aa80.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
